Graph,V(G),E(G),D(%),Fitness,Time(s),Optimal
cubic_400,400,600,0.75%,213,900.000,0
cubic_776,776,1164,0.39%,420,900.000,0
cubic_576,576,864,0.52%,314,900.000,0
cubic_600,600,900,0.50%,324,900.000,0
rd_300_0.2,300,9066,20.21%,142,900.000,0
rd_350_0.8,350,48730,79.79%,50,98.000,1
rd_500_0.5,500,62388,50.01%,218,900.000,0
cubic_176,176,264,1.71%,94,10.000,1
cubic_200,200,300,1.51%,106,73.000,1
rd_500_0.2,500,25031,20.06%,249,900.000,0
cubic_376,376,564,0.80%,200,900.000,0
rd_300_0.5,300,22366,49.87%,121,900.000,0
cubic_700,700,1050,0.43%,380,900.000,0
rd_150_0.2,150,2260,20.22%,64,900.000,0
cubic_476,476,714,0.63%,258,900.000,0
cubic_850,850,1275,0.35%,464,900.000,0
cubic_676,676,1014,0.44%,364,900.000,0
rd_400_0.5,400,39927,50.03%,174,900.000,0
rd_200_0.2,200,4021,20.21%,86,900.000,0
cubic_500,500,750,0.60%,270,900.000,0
rd_250_0.8,250,24806,79.70%,36,111.000,1
cubic_276,276,414,1.09%,146,265.000,1
cubic_50,50,75,6.12%,26,0.000,1
cubic_100,100,150,3.03%,54,0.000,1
rd_150_0.5,150,5576,49.90%,53,426.000,1
rd_200_0.5,200,9907,49.78%,75,900.000,0
rd_450_0.8,450,80679,79.86%,64,163.000,1
rd_400_0.2,400,16057,20.12%,181,900.000,0
cubic_300,300,450,1.00%,162,900.000,0
cubic_76,76,114,4.00%,42,0.000,1
rd_450_0.5,450,50489,49.98%,196,900.000,0
rd_200_0.8,200,15844,79.62%,30,79.000,1
cubic_250,250,375,1.20%,131,78.000,1
rd_250_0.2,250,6284,20.19%,122,900.000,0
rd_150_0.8,150,8933,79.94%,20,9.000,1
rd_250_0.5,250,15544,49.94%,98,900.000,0
rd_450_0.2,450,20245,20.04%,218,900.000,0
rd_400_0.8,400,63677,79.80%,60,106.000,1
cubic_450,450,675,0.67%,244,900.000,0
cubic_650,650,975,0.46%,354,900.000,0
cubic_876,876,1314,0.34%,470,900.000,0
cubic_150,150,225,2.01%,80,2.000,1
rd_300_0.8,300,35742,79.69%,44,118.000,1
rd_350_0.2,350,12311,20.16%,173,900.000,0
cubic_350,350,525,0.86%,188,900.000,0
cubic_750,750,1125,0.40%,410,900.000,0
rd_500_0.8,500,99649,79.88%,78,556.000,1
rd_350_0.5,350,30572,50.06%,140,900.000,0
cubic_800,800,1200,0.38%,436,900.000,0
cubic_550,550,825,0.55%,298,900.000,0
