graph_name,graph_order,graph_size,density,fitness_value,elapsed_time(seconds)
miles250,125,387,0.00518135,45,0.445646
miles250,125,387,0.00518135,46,0.62356
miles250,125,387,0.00518135,45,0.440324
miles250,125,387,0.00518135,45,0.452455
miles250,125,387,0.00518135,45,0.442769
miles250,125,387,0.00518135,45,0.853031
miles250,125,387,0.00518135,45,0.770303
miles250,125,387,0.00518135,46,0.672475
miles250,125,387,0.00518135,46,1.08346
miles250,125,387,0.00518135,45,1.20161
miles250,125,387,0.00518135,46,0.497334
miles250,125,387,0.00518135,45,1.79907
miles250,125,387,0.00518135,46,1.11129
miles250,125,387,0.00518135,45,0.744087
miles250,125,387,0.00518135,45,0.661777
miles250,125,387,0.00518135,45,0.6303
miles250,125,387,0.00518135,45,1.04517
miles250,125,387,0.00518135,46,0.426352
miles250,125,387,0.00518135,45,0.845331
miles250,125,387,0.00518135,46,0.473175
miles250,125,387,0.00518135,46,0.455062
miles250,125,387,0.00518135,45,1.51095
miles250,125,387,0.00518135,46,0.595957
miles250,125,387,0.00518135,46,0.475757
miles250,125,387,0.00518135,46,1.25897
miles250,125,387,0.00518135,45,0.519213
miles250,125,387,0.00518135,45,0.672547
miles250,125,387,0.00518135,46,0.514984
miles250,125,387,0.00518135,45,0.530457
miles250,125,387,0.00518135,45,0.525085
